Timestamp (s),CPU (%),RAM (%),Swap (%)
1730146870.743,100.0,18.8,0.0
1730146885.742,53.2,18.8,0.0
1730146900.741,43.8,18.8,0.0
1730146915.740,43.8,18.8,0.0
1730146930.739,43.8,18.8,0.0
1730146945.738,43.8,18.8,0.0
1730146960.740,51.4,18.8,0.0
1730146975.739,45.3,18.8,0.0
1730146990.738,43.9,18.8,0.0
1730147005.737,43.8,18.8,0.0
1730147020.736,43.8,18.8,0.0
1730147035.735,43.8,18.8,0.0
1730147050.734,43.8,18.8,0.0
1730147065.734,43.8,18.8,0.0
1730147080.733,43.8,18.8,0.0
1730147095.732,53.3,18.8,0.0
1730147110.731,43.8,18.8,0.0
1730147125.730,43.8,18.8,0.0
1730147140.729,43.8,18.8,0.0
1730147155.728,43.8,18.8,0.0
1730147170.727,43.8,18.8,0.0
1730147185.726,43.8,18.8,0.0
1730147200.729,46.4,18.8,0.0
1730147215.728,50.5,18.8,0.0
1730147230.727,43.8,18.8,0.0
1730147245.726,43.8,18.8,0.0
1730147260.725,43.8,18.8,0.0
1730147275.724,43.8,18.8,0.0
1730147290.724,43.8,18.8,0.0
1730147305.723,43.8,18.8,0.0
1730147320.722,53.0,18.8,0.0
1730147335.721,43.8,18.8,0.0
1730147350.720,43.8,18.8,0.0
1730147365.719,43.8,18.8,0.0
1730147380.718,43.8,18.8,0.0
1730147395.717,43.8,18.8,0.0
1730147410.716,43.8,18.8,0.0
